Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Dass da jemand ziemlich blöde Fragen stellt.	___ da ___ ziemlich ___ ___ stellt.	<span class="learn">Dass</span> da <span class="learn">jemand</span> ziemlich <span class="learn">blöde</span> <span class="learn">Fragen</span> stellt.	That someone pretty stupid asking questions .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dass</td><td></td><td>that</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>jemand</td><td>a body [coll.] </td><td>someone</td></tr><tr><td>ziemlich</td><td>considerable // fairly // gey [Scot.: quite] // kinda [coll.] [kind of] // kind of  [coll.] [rather] // middlingly // pretty [coll.] [considerably] // quite [rather] // rather // reasonable [tolerable] // reasonably [quite, fairly] // sorta [coll.] [sort of] // sort of  [coll.] [to some extent] // tolerably </td><td>rather</td></tr><tr><td>blöde</td><td></td><td>stupid</td></tr><tr><td>Fragen</td><td></td><td>questions</td></tr><tr><td>stellt.</td><td></td><td>provides .</td></tr></table>	[sound:lola-002053885-002056185.mp4]
Mann... du nimmst mich überhaupt nicht ernst.	Mann... du nimmst mich ___ nicht ___	Mann... du nimmst mich <span class="learn">überhaupt</span> nicht <span class="learn">ernst.</span>	Man .. you take me at all seriously.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Mann...</td><td></td><td>Man ..</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>nimmst</td><td></td><td>take</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>überhaupt</td><td>absolutely // after all // altogether // anyway // at all [in negative contexts] // even  [used as intensive to indicate something unexpected] // ever // generally </td><td>at all</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>ernst.</td><td></td><td>seriously.</td></tr></table>	[sound:lola-002056255-002060055.mp4]
Lola, was'n los?	Lola, was'n ___	Lola, was'n <span class="learn">los?</span>	Lola , going wasn ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Lola,</td><td></td><td>Lola</td></tr><tr><td>was'n</td><td></td><td>wasn</td></tr><tr><td>los?</td><td></td><td>going on?</td></tr></table>	[sound:lola-002060126-002062116.mp4]
Willst du irgendwie... weg von mir?	___ du irgendwie... ___ ___ mir?	<span class="learn">Willst</span> du irgendwie... <span class="learn">weg</span> <span class="learn">von</span> mir?	Want somehow ... away from me ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Willst</td><td></td><td>want</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>irgendwie...</td><td></td><td>somehow ...</td></tr><tr><td>weg</td><td>away // gone // off </td><td>away</td></tr><tr><td>von</td><td>by // from // off // of </td><td>from</td></tr><tr><td>mir?</td><td></td><td>me?</td></tr></table>	[sound:lola-002063126-002067226.mp4]
Ich weiß nicht.	Ich ___ nicht.	Ich <span class="learn">weiß</span> nicht.	I do not know.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>weiß</td><td>blank // whitely </td><td>white</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr></table>	[sound:lola-002069927-002071857.mp4]
Ich muss mich gerade entscheiden. Glaub ich.	Ich ___ mich ___ entscheiden. ___ ich.	Ich <span class="learn">muss</span> mich <span class="learn">gerade</span> entscheiden. <span class="learn">Glaub</span> ich.	I just need to decide . I think so.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>muss</td><td></td><td>must</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>gerade</td><td>direct // directly // right // straight // straightly </td><td>just</td></tr><tr><td>entscheiden.</td><td>arbitrative // clinching // conclusive // critically // critical [e.g. factor] // crucial // crucially // deciding // decisively // decisive  [conclusively] // defining // determinative // determining [deciding] // dispositive // important // instrumental  [role] // key // make-or-break [attr.] // vital </td><td>decide .</td></tr><tr><td>Glaub</td><td></td><td>believe</td></tr><tr><td>ich.</td><td></td><td>I am.</td></tr></table>	[sound:lola-002075928-002078228.mp4]
Aber ich will nicht. Ich will nicht weg.	___ ich ___ nicht. Ich ___ nicht ___	<span class="learn">Aber</span> ich <span class="learn">will</span> nicht. Ich <span class="learn">will</span> nicht <span class="learn">weg.</span>	But I will not. I will not go away.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Aber</td><td></td><td>however</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>will</td><td></td><td>wants</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>will</td><td></td><td>wants</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>weg.</td><td></td><td>away .</td></tr></table>	[sound:lola-002091000-002095550.mp4]
Stop.	Stop.	Stop.	Stop .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Stop.</td><td></td><td>Stop .</td></tr></table>	[sound:lola-002103221-002104481.mp4]
Lola, gehst du einkaufen? Ich brauch Shampoo.	Lola, ___ du ___ Ich ___ ___	Lola, <span class="learn">gehst</span> du <span class="learn">einkaufen?</span> Ich <span class="learn">brauch</span> <span class="learn">Shampoo.</span>	Lola , you go shopping ? I need shampoo.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Lola,</td><td></td><td>Lola</td></tr><tr><td>gehst</td><td></td><td>go</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>einkaufen?</td><td></td><td>shopping?</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>brauch</td><td></td><td>custom</td></tr><tr><td>Shampoo.</td><td></td><td>Shampoo.</td></tr></table>	[sound:lola-002110532-002113192.mp4]
Natürlich! Ich hab gewusst, dass du 'nen Schütze-Aszendent hast.	___ Ich hab ___ ___ du ___ Schütze-Aszendent ___	<span class="learn">Natürlich!</span> Ich hab <span class="learn">gewusst,</span> <span class="learn">dass</span> du <span class="learn">'nen</span> Schütze-Aszendent <span class="learn">hast.</span>	Of course ! I know that you have nen Sagittarius Ascendant .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Natürlich!</td><td>Hell yeah! [sl.] // Yes, squire! [Br.] </td><td>Of course !</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>hab</td><td></td><td>have</td></tr><tr><td>gewusst,</td><td></td><td>known</td></tr><tr><td>dass</td><td>lest [formal] [example: I was frightened lest he should fall.] // that </td><td>that</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>'nen</td><td></td><td>nen</td></tr><tr><td>Schütze-Aszendent</td><td></td><td>Sagittarius Ascendant</td></tr><tr><td>hast.</td><td></td><td>have .</td></tr></table>	[sound:lola-002116133-002119363.mp4]
Doch! Warum ich darüber nachdenk? Weiss ich nicht.	Doch! ___ ich ___ ___ ___ ich nicht.	Doch! <span class="learn">Warum</span> ich <span class="learn">darüber</span> <span class="learn">nachdenk?</span> <span class="learn">Weiss</span> ich nicht.	But ! Why I thoughtfully about it? I do not know.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Doch!</td><td>Sot! [Scot.] [on the contrary] // Yes, (I do / did / have / had / am / was / will / would / shall / should / can / could / may / might!) [contradicting a negative question] </td><td>But !</td></tr><tr><td>Warum</td><td></td><td>Why</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>darüber</td><td>about it / that // overhead // over it // thereover </td><td>above</td></tr><tr><td>nachdenk?</td><td></td><td>thoughtfully ?</td></tr><tr><td>Weiss</td><td></td><td>White</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr></table>	[sound:lola-002119434-002123734.mp4]
Na und, du bist doch auch verheiratet.	Na und, du bist doch auch ___	Na und, du bist doch auch <span class="learn">verheiratet.</span>	So what, you re also married.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na</td><td></td><td>Na</td></tr><tr><td>und,</td><td></td><td>and</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>bist</td><td></td><td>are</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>verheiratet.</td><td></td><td>married.</td></tr></table>	[sound:lola-002125714-002128474.mp4]
Mensch...! Hau ab, du blöde Kuh!	Mensch...! ___ ab, du ___ Kuh!	Mensch...! <span class="learn">Hau</span> ab, du <span class="learn">blöde</span> Kuh!	Man ... ! Get lost , you stupid cow!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Mensch...!</td><td></td><td>Man ... !</td></tr><tr><td>Hau</td><td></td><td>Hau</td></tr><tr><td>ab,</td><td></td><td>off</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>blöde</td><td></td><td>stupid</td></tr><tr><td>Kuh!</td><td></td><td>Cow!</td></tr></table>	[sound:lola-002197294-002199424.mp4]
Kackschlampe!	Kackschlampe!	Kackschlampe!	Kackschlampe !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Kackschlampe!</td><td></td><td>Kackschlampe !</td></tr></table>	[sound:lola-002201064-002202934.mp4]
Ey, brauchst'n Fahrrad? Nee	___ brauchst'n ___ ___	<span class="learn">Ey,</span> brauchst'n <span class="learn">Fahrrad?</span> <span class="learn">Nee</span>	Hey, brauchstn bike? Nee	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ey,</td><td></td><td>ey ,</td></tr><tr><td>brauchst'n</td><td></td><td>brauchstn</td></tr><tr><td>Fahrrad?</td><td></td><td>Bike?</td></tr><tr><td>Nee</td><td></td><td>Nee</td></tr></table>	[sound:lola-002271194-002274494.mp4]
- Fünfzig Mark. is wie neu. - Ist doch geklaut.	-  Fünfzig ___ is wie ___ -  Ist doch geklaut.	- Fünfzig <span class="learn">Mark.</span> is wie <span class="learn">neu.</span> - Ist doch geklaut.	Fifty marks. is like new.  Is it stolen.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Fünfzig</td><td></td><td>fifty</td></tr><tr><td>Mark.</td><td></td><td>Mark .</td></tr><tr><td>is</td><td></td><td>is</td></tr><tr><td>wie</td><td>as per // as // how // in common with // in the manner of // like // such as </td><td>as</td></tr><tr><td>neu.</td><td>re- // nine // niner [Am.] [dial. or radio communications] </td><td>new.</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Ist</td><td></td><td>is</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>geklaut.</td><td></td><td>stolen.</td></tr></table>	[sound:lola-002274564-002277494.mp4]
Fünfhundert? Was soll ich mit fünfhundert Mark?	Fünfhundert? Was ___ ich mit fünfhundert ___	Fünfhundert? Was <span class="learn">soll</span> ich mit fünfhundert <span class="learn">Mark?</span>	Five hundred ? What should I do with five hundred marks ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Fünfhundert?</td><td></td><td>Five hundred ?</td></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>soll</td><td></td><td>to</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>mit</td><td>by // cum  [usually used in combination] // featuring  [having as a feature] // having // involving // withal  [postpos.]  [archaic] </td><td>with</td></tr><tr><td>fünfhundert</td><td>five hundred </td><td>five hundred</td></tr><tr><td>Mark?</td><td></td><td>Mark ?</td></tr></table>	[sound:lola-002291837-002294537.mp4]
Sag. Willst du ein Kind mit mir?	Sag. ___ du ein ___ mit mir?	Sag. <span class="learn">Willst</span> du ein <span class="learn">Kind</span> mit mir?	Say . Do you want a child with me?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Sag.</td><td></td><td>Say .</td></tr><tr><td>Willst</td><td></td><td>want</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>ein</td><td>a // any [one of many] // an [masculine subject / neuter subject or direct object] // on // one </td><td>one</td></tr><tr><td>Kind</td><td></td><td>child</td></tr><tr><td>mit</td><td>by // cum  [usually used in combination] // featuring  [having as a feature] // having // involving // withal  [postpos.]  [archaic] </td><td>with</td></tr><tr><td>mir?</td><td></td><td>me?</td></tr></table>	[sound:lola-002334382-002336842.mp4]
Ja.	Ja.	Ja.	Yes .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ja.</td><td>Ay! [archaic or dialect] // Aye! [Scot., N. Engl., archaic, and said when voting] // Yah. // Yeah. [coll.] // Yep. [coll.] </td><td>Yes .</td></tr></table>	[sound:lola-002342343-002343933.mp4]
Auch wenn es nicht von dir ist?	Auch ___ es nicht ___ ___ ist?	Auch <span class="learn">wenn</span> es nicht <span class="learn">von</span> <span class="learn">dir</span> ist?	Even if it is not from you?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Auch</td><td></td><td>also</td></tr><tr><td>wenn</td><td>by the time // if and when // once // when // whensoever  [poet.] </td><td>when</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>von</td><td>by // from // off // of </td><td>from</td></tr><tr><td>dir</td><td>thee [poet., archaic] [indirect object] // ye [archaic, poet.] // you [indirect object] [informal] </td><td>you</td></tr><tr><td>ist?</td><td></td><td>is it?</td></tr></table>	[sound:lola-002354325-002357295.mp4]
Hollaholla. Lolalola.	Hollaholla. Lolalola.	Hollaholla. Lolalola.	Holla Holla . Lola Lola.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Hollaholla.</td><td></td><td>Holla Holla .</td></tr><tr><td>Lolalola.</td><td></td><td>Lola Lola.</td></tr></table>	[sound:lola-002361896-002364426.mp4]
Ich hab's eilig, bitte...!	Ich hab's eilig, ___	Ich hab's eilig, <span class="learn">bitte...!</span>	I m in a hurry , please ... !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>hab's</td><td></td><td>ve</td></tr><tr><td>eilig,</td><td></td><td>hurry</td></tr><tr><td>bitte...!</td><td></td><td>please ... !</td></tr></table>	[sound:lola-002364506-002366226.mp4]
Bitte. Ich muss da rein!	___ Ich ___ da ___	<span class="learn">Bitte.</span> Ich <span class="learn">muss</span> da <span class="learn">rein!</span>	Please . I have to go in there !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Bitte.</td><td>Please! <PLS, PLZ> // You are welcome! </td><td>Please .</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>muss</td><td></td><td>must</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>rein!</td><td></td><td>in!</td></tr></table>	[sound:lola-002368007-002369337.mp4]
